City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mega,4.05,38.3,19.74,55,24,5.54,ET,1724947478
84,fortuna,40.5982,-124.1573,13.51,100,0,0.0,US,1724947479
85,kapuskasing,49.4169,-82.4331,15.0,58,40,3.6,CA,1724947480
86,az zawr,29.4425,48.2747,40.01,38,0,7.34,KW,1724947481
87,afaahiti,-17.75,-149.2833,24.45,85,42,4.78,PF,1724947482
88,ryotsu-minato,38.0833,138.4333,23.37,93,100,2.28,JP,1724947483
89,dese,11.1333,39.6333,14.59,81,81,1.16,ET,1724947484
90,stanley,54.868,-1.6985,18.06,60,20,5.66,GB,1724947485
91,cidade velha,14.9167,-23.6167,32.26,51,0,5.66,CV,1724947487
92,shiprock,36.7855,-108.687,23.47,46,100,1.27,US,1724947488
93,great falls,47.5002,-111.3008,17.6,47,0,4.12,US,1724947205
94,atafu village,-8.5421,-172.5159,27.73,78,19,8.89,TK,1724947490
95,acapulco de juarez,16.8634,-99.8901,29.9,79,75,1.54,MX,1724947433
96,pimentel,-6.8367,-79.9342,18.16,77,100,5.14,PE,1724947492
97,qaqortoq,60.7167,-46.0333,5.03,97,100,5.33,GL,1724947494
98,dunedin,-45.8742,170.5036,9.89,57,48,0.89,NZ,1724947269
99,prado,-17.3411,-39.2208,23.98,57,99,4.06,BR,1724947496
100,el haouaria,37.05,11.0144,30.01,59,0,4.11,TN,1724947498
101,constantia,44.1833,28.65,23.38,66,94,6.89,RO,1724947499
102,shimanovsk,52.0,127.7,14.62,74,83,1.48,RU,1724947501
103,tazovsky,67.4667,78.7,9.48,82,100,4.46,RU,1724947502
104,east london,-33.0153,27.9116,14.52,54,20,3.6,ZA,1724947503
105,miyako,39.6367,141.9525,22.5,92,100,1.98,JP,1724947504
106,stowbtsy,53.4785,26.7434,25.8,52,13,2.69,BY,1724947505
107,thohoyandou,-22.9456,30.485,16.36,80,98,5.87,ZA,1724947500
108,keren,15.7778,38.4581,21.25,80,96,1.26,ER,1724947507
109,richland center,43.3347,-90.3868,21.99,85,100,4.63,US,1724947508
110,mafinga,-7.25,35.0667,26.76,40,44,6.4,TZ,1724947509
